ForestAge,Compartment,Avg.CanopyClosure,Avg.LeafLitterDepth,Avg.HerbPlantHeight,Avg.No.WaterBodies,Avg.WaterDistance,Avg.no.waterbodies
2,UTT35,58.875,2.333,34.167,1,0.1,0.167
2,UTT41,61.425,2.343,62,0,NA,0
5,PB87,79.01,3.091,81.25,4,0.1,0.333
5,PS52,92.167,3.238,71.667,1,0.1,0.111
6,JU93,80.708,3.238,73,0,NA,0
10,B12,89.75,3.31,66.25,0,NA,0
11,JU31Y,83.125,2.909,62.045,1,0.1,0.091
20,JI52,87.458,2.952,77.5,1,0.1,0.2
23,JI4,90.458,2.844,92.13,1,10.1,0.091
24,B17,86.537,2.714,78.971,8,4.1,0.353
30,B19,88.217,3.952,57.083,2,0.1,0.333
31,JI64,76.743,4.371,77.5,2,0.1,0.333
32,B18,83.129,1.8,86.5,1,0.1,0.167
32,BT7,96.194,3.727,96.667,0,NA,0
41,JU31N,87.152,2.675,64.545,2,0.1,0.182
Unlogged,JU100,89.88,3.286,61.364,1,0.1,0.091
Unlogged,PS26,91.84,3.347,87.583,2,0.1,0.182
Unlogged,UTT27,94.992,3.442,60.455,3,3.4,0.273
