Observed,Estimator,Est_s.e.,95% Lower,95% Upper,Compartment,Order
6,10.304,6.895,6.472,45.235,B10,Species Richness
3.711,4.627,1.135,3.711,6.852,B10,Shannon diversity
2.829,3.085,0.731,2.829,4.518,B10,Simpson diversity
2,2,0.34,2,2.887,B12,Species Richness
1.89,2.07,0.354,1.89,2.764,B12,Shannon diversity
1.8,2.143,0.477,1.8,3.079,B12,Simpson diversity
3,3.857,1.844,3.065,14.272,B17,Species Richness
2.217,2.873,0.947,2.217,4.73,B17,Shannon diversity
1.815,1.815,0.89,1.815,3.558,B17,Simpson diversity
3,3.48,1.277,3.028,11.161,B19,Species Richness
1.558,1.652,0.331,1.558,2.301,B19,Shannon diversity
1.278,1.293,0.192,1.278,1.67,B19,Simpson diversity
4,4.48,1.277,4.028,12.161,B3,Species Richness
2.212,2.396,0.55,2.212,3.475,B3,Shannon diversity
1.667,1.714,0.356,1.667,2.412,B3,Simpson diversity
3,3.857,1.844,3.065,14.272,JI39,Species Richness
2.217,2.873,1.013,2.217,4.858,JI39,Shannon diversity
1.815,1.815,0.759,1.815,3.302,JI39,Simpson diversity
5,5,0.536,5,6.536,JI4,Species Richness
4.398,4.989,0.687,4.398,6.336,JI4,Shannon diversity
3.853,4.69,0.996,3.853,6.643,JI4,Simpson diversity
4,5.818,3.426,4.163,24.295,JI40,Species Richness
2.811,3.637,1.215,2.811,6.019,JI40,Shannon diversity
2.2,2.5,1.056,2.2,4.569,JI40,Simpson diversity
5,10.571,6.527,5.901,39.446,JI52,Species Richness
2.703,3.951,1.363,2.703,6.621,JI52,Shannon diversity
1.885,2.022,0.756,1.885,3.503,JI52,Simpson diversity
2,2,0.359,2,2.98,JI64,Species Richness
1.96,2.189,0.323,1.96,2.822,JI64,Shannon diversity
1.923,2.5,0.54,1.923,3.558,JI64,Simpson diversity
4,4,0.496,4,5.408,JU100,Species Richness
3.565,4.037,0.632,3.565,5.276,JU100,Shannon diversity
3.189,3.9,0.763,3.189,5.395,JU100,Simpson diversity
6,13.778,11.347,6.959,69.084,JU31N,Species Richness
2.035,2.438,0.712,2.035,3.833,JU31N,Shannon diversity
1.427,1.445,0.234,1.427,1.903,JU31N,Simpson diversity
4,5.926,3.613,4.173,25.382,JU31Y,Species Richness
1.774,1.973,0.432,1.774,2.821,JU31Y,Shannon diversity
1.363,1.382,0.218,1.363,1.81,JU31Y,Simpson diversity
2,2.5,1.107,2.037,8.808,JU93,Species Richness
2,3.375,1.146,2,5.622,JU93,Shannon diversity
2,2,0.468,2,2.917,JU93,Simpson diversity
4,6.909,4.217,4.362,27.407,PB87,Species Richness
1.499,1.666,0.283,1.499,2.221,PB87,Shannon diversity
1.206,1.214,0.131,1.206,1.471,PB87,Simpson diversity
5,5.227,0.678,5.012,9.419,PS26,Species Richness
4.695,5.839,1.383,4.695,8.55,PS26,Shannon diversity
4.481,6.875,1.582,4.481,9.975,PS26,Simpson diversity
3,3.889,1.906,3.068,14.638,PS52,Species Richness
1.981,2.427,0.611,1.981,3.624,PS52,Shannon diversity
1.588,1.588,0.509,1.588,2.586,PS52,Simpson diversity
3,3,0.478,3,4.511,UTT27,Species Richness
2.547,2.815,0.425,2.547,3.648,UTT27,Shannon diversity
2.373,2.75,0.527,2.373,3.782,UTT27,Simpson diversity
2,2,0.34,2,2.887,UTT35,Species Richness
1.89,2.07,0.347,1.89,2.75,UTT35,Shannon diversity
1.8,2.143,0.52,1.8,3.162,UTT35,Simpson diversity
