CompartmentName,LoggingRotation,SR_per_compartment,shannon_per_compartment,simpson_per_compartment,order_0_at_90,order_1_at_90,order2_at_90,no_iNEXT
B10,twice,6,1.3113319996707051,0.6465028355387523,6.914,3.916,2.891,NA
B12,once,2,0.6365141682948128,0.4444444444444444,1.933,1.781,1.667,NA
B14,twice,1,0,0,NA,NA,NA,1
B17,once,3,0.796311640173813,0.44897959183673464,3.496,2.462,1.892,NA
B18,once,0,0,1,NA,NA,NA,NA
B19,once,3,0.44330669146808716,0.21760000000000002,1.67,1.36,1.233,NA
B3,twice,4,0.7938169516167373,0.4,3.204,2.048,1.625,NA
BT7,once,0,0,1,NA,NA,NA,NA
JI38B,twice,1,0,0,NA,NA,NA,1
JI39,twice,3,0.796311640173813,0.44897959183673464,3.496,2.462,1.892,NA
JI4,once,5,1.4811172559600023,0.740484429065744,4.721,4.039,3.512,NA
JI40,twice,4,1.0335620542068176,0.5454545454545454,4.689,3.063,2.286,NA
JI42,twice,1,0,0,NA,NA,NA,1
JI52,once,5,0.9943536917623688,0.4693877551020408,8.522,3.483,1.963,NA
JI64,once,2,0.6730116670092565,0.48,1.9,1.773,1.667,NA
JU100,unlogged,4,1.2711814802605796,0.6863905325443787,3.832,3.328,2.95,NA
JU31N,once,6,0.7106796103732057,0.2993827160493826,6.635,2.077,1.43,NA
JU31Y,once,4,0.5735160760972796,0.26611796982167357,3.131,1.687,1.352,NA
JU68,twice,1,0,0,NA,NA,NA,1
JU93,once,2,0.6931471805599453,0.5,2.333,NA,3,NA
PB87,once,4,0.40450994177361177,0.1707988980716254,1.727,1.311,1.182,NA
PS26,unlogged,5,1.5465986860485124,0.7768595041322315,4.782,4.43,4.16,NA
PS52,once,3,0.6837389058487535,0.37037037037037035,3.434,2.116,1.618,NA
UTT27,unlogged,3,0.9347698978582794,0.578512396694215,2.636,2.366,2.2,NA
UTT35,once,2,0.6365141682948128,0.4444444444444444,1.933,1.781,1.667,NA
UTT41,once,0,0,1,NA,NA,NA,NA
