CompartmentName,TransectNo,ForestType,LoggingRotation,TransectByForest,ForestCode,Date,VisualCount,Sp.01,Sp.02,Sp.03,Sp.04,Sp.05,Sp.06,Sp.07,Sp.08,Sp.09,Sp.10,Sp.11,Sp.12,Sp.13,Sp.14,Sp.15,Sp.16,Sp.17,Sp.18,Sp.19,Sp.20,Sp.21,Sp.22,Sp.23,Sp.24,Sp.25,Sp.26,Sp.27
B18,1,More than 26 years,1,1,41,11-Aug-16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
B18,2,More than 26 years,1,2,41,11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B18,3,More than 26 years,1,3,41,11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B18,4,More than 26 years,1,4,41,11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B18,5,More than 26 years,1,5,41,11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B18,6,More than 26 years,1,6,41,11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B19,1,More than 26 years,1,7,41,08-Aug-16,,,,,,,,,,2,,,,7,,,,,,,,,,,,,,
B19,2,More than 26 years,1,8,41,08-Aug-16,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
B19,3,More than 26 years,1,9,41,08-Aug-16,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
B19,4,More than 26 years,1,10,41,08-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B19,5,More than 26 years,1,11,41,08-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
B19,6,More than 26 years,1,12,41,08-Aug-16,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
BT7,1,More than 26 years,1,13,41,16-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT7,2,More than 26 years,1,14,41,16-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT7,3,More than 26 years,1,15,41,16-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT7,4,More than 26 years,1,16,41,16-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JI64,1,More than 26 years,1,17,41,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JI64,2,More than 26 years,1,18,41,18-Aug-16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
JI64,3,More than 26 years,1,19,41,18-Aug-16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
JI64,4,More than 26 years,1,20,41,18-Aug-16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
JI64,5,More than 26 years,1,21,41,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
JI64,6,More than 26 years,1,22,41,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU31N,1,More than 26 years,1,23,41,21-Jun-16,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
JU31N,2,More than 26 years,1,24,41,21-Jun-16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
JU31N,3,More than 26 years,1,25,41,21-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU31N,4,More than 26 years,1,26,41,21-Jun-16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
JU31N,5,More than 26 years,1,27,41,21-Jun-16,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
JU31N,6,More than 26 years,1,28,41,21-Jun-16,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
JU31N,7,More than 26 years,1,29,41,21-Jun-16,,,,,,,,,,2,,,,,,1,,,1,,,,,,,,,
JU31N,1,More than 26 years,1,30,41,22-Jun-16,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
JU31N,2,More than 26 years,1,31,41,22-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU31N,3,More than 26 years,1,32,41,22-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU31N,4,More than 26 years,1,33,41,22-Jun-16,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
JU31N,5,More than 26 years,1,34,41,22-Jun-16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
